New article name,Article,Description
00GovStr,00TRDBDKSMJ,"Redudant Governance Structures - Rowley, T; Behrens, D; Krackhardt, D; Strategic Management Journal - March 2000"
00LatCon,00ELDKQQ,"Spreading and shifting costs of lateral control among peers - Lazega, E; Krackhardt, D - Quality & Quantity - May 2000"
00WrkGrp,00PJHKMCDKODHDP,"Choosing Work Group Members; Hinds, PJ; Carley, KM; Krackhardt, D; et al.; Organizational Behavior and Human Decision Processes - Mar 2000"
01PreTran,01PDDKJMS,"Pre-transitive balance mechanisms for signed networks - Doreian, P; Krackhardt, D - Journal of Mathematical Sociology - 2001"
02Festsch,02NEFDKSN,"Festschrift for Linton C Freeman: Introduction - Friedkin, NE; Krackhardt, D - Social Networks - Oct 2002"
02Simmel3,02DKMKSN,"Structure, culture, and Simmelian ties in entrepreneurial firms - Krackhardt, D; Kilduff, M - Social Networks - July 2002"
03Equil,03DDPHFDKJMS,"An equilibrium-correction model for dynamic network data - Dekker, D; Franses, PH; Krackhardt, D - Journal of Mathematical Sociology - Apr-Sept 2003"
03NetChng,03RLKDKJMSSM,"Networked for change? Kravitz, RL, Krackhardt, D; Melnikow, J - Social Science & Medicine - Dec 2003"
03Vis2,96JBCMDKGD,"The effect of graph layout on interference from social network data - Blythe, J; McGrath, C; Krackhardt, D - Graph Drawing - 1996"
06Cent,06SPBKMCDKSN,"On the robustness of centrality; Borgatti, SP; Carley, KM; Krackhardt, D; Social Networks - May 2006"
06Simmel4,06DKMHSNA,"Heider vs simmel Emergent features in dynamic structures - Krackhardt, David; Handcock, Mark - Statistical Network Analysis: Models, Issues, and New Directions - 2007"
07DiscHand,07DKTSJRSSSASS,"Discussion on the paper by Handcock, Raftery and Tantrum - Krackhardt, D; Snijders, T; et al - Journal of the Royal Statistical Society Series A - Statistics in Society - 2007"
07QAP3,07DDDKTSP,"Sensitivity of MRQAP Tests; Dekker, D; Krackhardt, D; Snijders, T. A.B.; Psychometrika - Dec. 2007"
08SmWrld,08MKCCDKOBHDP,"Organizational Network Perceptions - Kilduff, Martin; Crossland, Craig; Krackhardt, D - Organizational Behavior and Human Decision Processes - Sep 2008"
09RvJack,09DKS,"Social and Economic Networks - Krackhardt, D - Science - Oct 2009"
10Activ,10MTDKAMJ,"Activating Cross-Boundary Knowledge; Tortoriello, Marco; Krackhardt, David; Academy of Management Journal - Feb 2010"
10ChldWel,10MRSMDKCYSR,"Innovation in Child Welfare - Rauktis, M; McCarthy, S; Krackhardt, D - Children and Youth Services Review - May 2010"
10HlthRec,10KZRPDKJAMIA,"Social networks and physician adoption of electronic health records - Zheng, Kai; Padman, Rema; Krackhardt, David - Journal of the American Medical Informatics Association - May 2010"
