,00GovStr,92Philos,90Polit,88Crises,88QAP2,93InfNet,87CSS,94Bring,87QAP1,07QAP3,06Cent,10Activ,86Snow,00WrkGrp,85FrLeave,99ClsFar,81FuncTO,90Cult,96Incon,96Lead,08SmWrld,02Simmel3,99AffAcc,96HistBal,01PreTran,97Vis1,13Embed,10HlthRec,97Viscos,06Simmel4,81EmpTO,03NetChng,15Catlst,14PeerInf,12TeamCon,13TeamCom,10ChldWel,15Psych,12GrphTh2,11EMFam1,96CommBK,12EMEvnt,00LatCon,16TeamInj,09RvJack,03Equil,03Vis2,15EMfam2,14Simmel4,95RevSH,77Povrty,14AdEvnt,14Accur,07DiscHand,02Festsch,98Polyn
00GovStr,856,74,24,11,5,6,3,14,7,2,2,19,2,1,1,2,0,2,3,1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
92Philos,74,630,50,30,28,32,25,31,18,7,3,17,21,9,15,12,1,14,9,5,8,7,7,0,3,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90Polit,24,50,583,40,33,40,84,59,16,6,2,14,22,9,22,33,0,21,19,5,18,11,21,1,0,3,3,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88Crises,11,30,40,420,20,28,14,17,15,9,5,10,15,6,15,5,0,15,6,6,3,4,0,0,1,1,0,1,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88QAP2,5,28,33,20,440,12,32,25,112,102,9,9,12,9,8,8,0,18,9,4,1,2,3,3,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
93InfNet,6,32,40,28,12,385,17,17,7,4,5,7,6,8,4,6,0,8,4,6,5,2,5,0,0,1,0,1,2,0,0,2,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87CSS,3,25,84,14,32,17,364,34,16,5,2,6,8,2,10,34,0,15,19,2,19,9,17,2,3,6,0,1,1,0,0,2,0,0,0,0,0,3,1,0,6,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0
94Bring,14,31,59,17,25,17,34,303,13,11,2,9,17,9,14,35,0,13,7,10,14,8,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
87QAP1,7,18,16,15,112,7,16,13,256,54,3,4,7,4,5,8,0,10,6,4,2,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
07QAP3,2,7,6,9,102,4,5,11,54,237,4,7,1,2,0,3,0,4,3,2,1,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
06Cent,2,3,2,5,9,5,2,2,3,4,212,2,0,0,0,2,0,0,2,1,3,1,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10Activ,19,17,14,10,9,7,6,9,4,7,2,187,4,3,0,5,1,1,4,3,4,7,1,1,0,0,3,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
